iter	Passed	Remaining
0	4	4469
1	8	4290
2	12	4129
3	15	3954
4	19	3894
5	23	3907
6	27	3848
7	30	3800
8	34	3752
9	38	3819
10	42	3803
11	45	3779
12	49	3750
13	53	3760
14	57	3775
15	61	3759
16	64	3739
17	68	3750
18	72	3763
19	76	3761
20	80	3761
21	84	3773
22	89	3789
23	93	3789
24	96	3770
25	100	3776
26	104	3781
27	108	3773
28	112	3782
29	117	3784
30	121	3784
31	124	3775
32	128	3765
33	132	3763
34	136	3771
35	140	3763
36	144	3760
37	148	3753
38	152	3761
39	156	3764
40	160	3758
41	164	3754
42	168	3752
43	172	3744
44	175	3732
45	179	3724
46	183	3728
47	187	3720
48	191	3713
49	194	3703
50	199	3712
51	203	3708
52	207	3698
53	210	3691
54	214	3690
55	218	3687
56	222	3680
57	226	3672
58	230	3671
59	234	3667
60	237	3661
61	241	3652
62	245	3648
63	249	3647
64	253	3643
65	257	3639
66	260	3631
67	265	3633
68	268	3625
69	272	3622
70	276	3614
71	280	3618
72	284	3612
73	288	3606
74	291	3598
75	296	3599
76	300	3596
77	304	3594
78	307	3586
79	312	3589
80	316	3589
81	320	3582
82	323	3575
83	327	3568
84	331	3567
85	335	3561
86	338	3554
87	342	3550
88	347	3555
89	351	3550
90	355	3546
91	358	3540
92	363	3542
93	366	3535
94	370	3530
95	374	3525
96	378	3526
97	382	3522
98	386	3517
99	390	3511
100	394	3515
101	398	3510
102	402	3507
103	406	3501
104	410	3502
105	414	3497
106	418	3491
107	421	3484
108	425	3481
109	429	3476
110	433	3470
111	437	3465
112	440	3461
113	445	3461
114	449	3457
115	453	3455
116	457	3452
117	461	3449
118	465	3445
119	469	3441
120	473	3442
121	478	3443
122	483	3444
123	487	3447
124	492	3447
125	496	3443
126	500	3439
127	503	3428
128	507	3428
129	511	3425
130	516	3423
131	520	3420
132	524	3418
133	528	3414
134	532	3409
135	535	3405
136	540	3405
137	544	3400
138	548	3396
139	552	3392
140	556	3392
141	560	3389
142	564	3385
143	568	3380
144	572	3375
145	576	3369
146	580	3366
147	583	3361
148	588	3360
149	592	3356
150	596	3354
151	600	3351
152	605	3349
153	608	3345
154	613	3342
155	616	3338
156	621	3336
157	625	3333
158	629	3329
159	633	3326
160	637	3322
161	641	3316
162	644	3310
163	648	3305
164	652	3302
165	657	3302
166	661	3299
167	665	3297
168	670	3298
169	674	3292
170	678	3288
171	682	3286
172	687	3284
173	690	3278
174	694	3273
175	698	3268
176	702	3267
177	706	3262
178	710	3259
179	714	3255
180	719	3254
181	723	3250
182	727	3246
183	731	3243
184	735	3240
185	739	3234
186	742	3230
187	746	3226
188	751	3224
189	755	3221
190	759	3216
191	763	3212
192	767	3209
193	771	3204
194	775	3199
195	779	3198
196	783	3194
197	787	3191
198	791	3187
199	796	3184
200	800	3181
201	804	3176
202	808	3173
203	812	3170
204	816	3166
205	820	3162
206	824	3157
207	828	3154
208	832	3150
209	836	3145
210	839	3140
211	843	3135
212	847	3132
213	851	3126
214	854	3121
215	858	3116
216	863	3116
217	868	3115
218	872	3111
219	876	3106
220	880	3104
221	884	3100
222	888	3096
223	892	3093
224	897	3091
225	901	3087
226	905	3082
227	909	3081
228	913	3077
229	917	3072
230	921	3067
231	925	3063
232	929	3059
233	933	3055
234	937	3051
235	941	3048
236	945	3044
237	949	3039
238	952	3034
239	957	3032
240	960	3024
241	964	3020
242	968	3015
243	971	3011
244	976	3010
245	980	3005
246	984	3001
247	988	2998
248	992	2994
249	996	2989
250	1000	2985
251	1004	2982
252	1009	2979
253	1013	2976
254	1018	2976
255	1023	2974
256	1027	2969
257	1030	2964
258	1034	2960
259	1039	2958
260	1043	2953
261	1047	2949
262	1050	2944
263	1055	2941
264	1058	2936
265	1062	2931
266	1066	2927
267	1070	2924
268	1075	2921
269	1079	2917
270	1083	2913
271	1087	2910
272	1091	2906
273	1095	2902
274	1099	2898
275	1103	2895
276	1108	2892
277	1112	2889
278	1116	2885
279	1120	2881
280	1124	2877
281	1128	2873
282	1132	2868
283	1136	2866
284	1140	2862
285	1144	2857
286	1148	2852
287	1152	2849
288	1156	2845
289	1160	2840
290	1164	2836
291	1168	2833
292	1172	2830
293	1176	2825
294	1180	2820
295	1184	2817
296	1188	2813
297	1192	2809
298	1196	2805
299	1200	2801
300	1204	2797
301	1208	2793
302	1212	2788
303	1216	2785
304	1220	2781
305	1224	2777
306	1228	2773
307	1233	2770
308	1236	2766
309	1241	2762
310	1244	2757
311	1249	2755
312	1253	2751
313	1257	2747
314	1261	2743
315	1266	2742
316	1271	2738
317	1275	2734
318	1279	2731
319	1284	2729
320	1289	2726
321	1293	2722
322	1297	2720
323	1301	2716
324	1305	2712
325	1309	2708
326	1314	2704
327	1318	2700
328	1321	2696
329	1325	2691
330	1330	2688
331	1334	2685
332	1338	2681
333	1343	2678
334	1347	2674
335	1351	2671
336	1355	2667
337	1360	2664
338	1364	2661
339	1368	2657
340	1373	2653
341	1378	2651
342	1382	2648
343	1387	2645
344	1390	2640
345	1395	2637
346	1399	2633
347	1403	2629
348	1407	2625
349	1412	2622
350	1416	2618
351	1419	2613
352	1423	2608
353	1427	2605
354	1431	2601
355	1435	2596
356	1439	2592
357	1443	2589
358	1448	2586
359	1452	2581
360	1456	2577
361	1461	2574
362	1465	2570
363	1469	2566
364	1473	2562
365	1477	2559
366	1481	2554
367	1485	2550
368	1489	2546
369	1494	2544
370	1498	2540
371	1502	2535
372	1506	2532
373	1510	2528
374	1514	2524
375	1518	2520
376	1523	2517
377	1527	2513
378	1531	2510
379	1535	2505
380	1540	2503
381	1544	2499
382	1549	2496
383	1554	2493
384	1558	2489
385	1562	2485
386	1567	2482
387	1572	2480
388	1576	2476
389	1581	2473
390	1585	2469
391	1590	2466
392	1594	2462
393	1598	2458
394	1602	2454
395	1606	2451
396	1610	2446
397	1615	2442
398	1619	2439
399	1624	2436
400	1628	2431
401	1631	2427
402	1636	2424
403	1641	2420
404	1645	2416
405	1649	2412
406	1653	2409
407	1658	2406
408	1662	2402
409	1666	2398
410	1671	2395
411	1675	2390
412	1678	2386
413	1682	2381
414	1687	2378
415	1691	2374
416	1696	2371
417	1700	2367
418	1704	2363
419	1708	2359
420	1712	2354
421	1716	2351
422	1720	2347
423	1724	2342
424	1728	2338
425	1732	2333
426	1736	2330
427	1740	2325
428	1744	2321
429	1748	2317
430	1752	2313
431	1756	2309
432	1760	2304
433	1763	2300
434	1768	2296
435	1772	2292
436	1776	2288
437	1780	2284
438	1785	2281
439	1789	2277
440	1793	2273
441	1797	2269
442	1802	2265
443	1806	2261
444	1810	2257
445	1814	2254
446	1819	2250
447	1823	2246
448	1827	2243
449	1833	2240
450	1837	2236
451	1841	2233
452	1845	2229
453	1850	2225
454	1854	2220
455	1858	2216
456	1862	2213
457	1866	2209
458	1871	2205
459	1875	2201
460	1879	2197
461	1884	2194
462	1888	2190
463	1892	2185
464	1896	2182
465	1901	2179
466	1905	2175
467	1909	2170
468	1914	2167
469	1918	2163
470	1922	2159
471	1927	2156
472	1932	2152
473	1935	2148
474	1940	2144
475	1944	2140
476	1948	2136
477	1952	2132
478	1956	2127
479	1960	2124
480	1965	2120
481	1968	2116
482	1972	2111
483	1976	2107
484	1980	2103
485	1984	2099
486	1988	2094
487	1993	2091
488	1998	2088
489	2002	2084
490	2006	2080
491	2010	2076
492	2015	2072
493	2018	2068
494	2023	2063
495	2027	2059
496	2030	2055
497	2034	2051
498	2038	2047
499	2042	2042
500	2046	2038
501	2050	2034
502	2054	2030
503	2059	2026
504	2063	2022
505	2067	2018
506	2071	2014
507	2075	2010
508	2079	2005
509	2083	2001
510	2087	1997
511	2092	1994
512	2096	1989
513	2100	1986
514	2104	1981
515	2108	1977
516	2112	1973
517	2116	1969
518	2120	1965
519	2124	1961
520	2128	1956
521	2132	1952
522	2136	1948
523	2140	1944
524	2144	1940
525	2148	1936
526	2153	1932
527	2156	1928
528	2160	1923
529	2164	1919
530	2168	1915
531	2172	1911
532	2176	1907
533	2180	1902
534	2184	1898
535	2188	1894
536	2192	1890
537	2196	1885
538	2200	1881
539	2204	1877
540	2208	1874
541	2212	1869
542	2216	1865
543	2220	1861
544	2225	1857
545	2228	1853
546	2232	1849
547	2237	1845
548	2241	1841
549	2245	1837
550	2250	1833
551	2254	1829
552	2258	1825
553	2262	1821
554	2267	1817
555	2271	1813
556	2275	1809
557	2279	1805
558	2284	1802
559	2288	1798
560	2293	1794
561	2297	1790
562	2301	1786
563	2306	1782
564	2310	1778
565	2315	1775
566	2319	1771
567	2323	1767
568	2327	1763
569	2331	1759
570	2336	1755
